Location,Sample Name,40/39 Ratio,U-Th-Pb,Absolute Model Age,1 stdev,2 stdev,X (NBO),Size (micrometers),K2O,FeO
Chang'e 5,B012-003,,,na,na,,,,0.01,22.6
Chang'e 5,B012-007,,,179.6,20.8,,,,0.01,21.82
Chang'e 5,B012-008,,,na,na,,,,0,23.24
Chang'e 5,B012-009,,,na,na,,,,0,23.18
Chang'e 5,B012-011,,,71.9,18.9,,,,0.02,22.7
Chang'e 5,B012-019,,,na,na,,,,0,22.15
Chang'e 5,B012-022,,,29.9,18.4,,,,0.02,23.82
Chang'e 5,B012-030,,,108.7,8.7,,,,0.06,22.4
Chang'e 5,B012-031,,,17.1,8.7,,,,0.03,22.82
Chang'e 5,B012-039,,,85.2,9.5,,,,0.08,22.27
Chang'e 5,B012-040,,,63.4,12.1,,,,0.1,23.58
Chang'e 5,B012-050,,,91.3,10.1,,,,0.02,22.04
Chang'e 5,B012-052,,,40.9,5.6,,,,0.05,23.02
Chang'e 5,B012-065,,,65.8,9.4,,,,0.03,19.96
Chang'e 5,B012-067,,,86.7,8.8,,,,0.06,19.88
Chang'e 5,B012-068,,,195.8,20.4,,,,0.05,21.89
Chang'e 5,B012-070,,,58.7,11.9,,,,0.04,21.06
Chang'e 5,B012-074,,,908.9,40.3,,,,,22.99
Chang'e 5,B012-076,,,605.3,31.4,,,,0.13,19.67
Chang'e 5,B012-079,,,37.2,9.7,,,,0.06,22.76
Chang'e 5,B012-080,,,127.1,14,,,,0.05,21.84
Chang'e 5,B012-081,,,46,9.5,,,,0.03,22.32
Chang'e 5,B012-084,,,71.3,7.3,,,,0.02,20.06
Chang'e 5,B012-087,,,373.7,18.5,,,,0.13,23.1
Chang'e 5,B012-088,,,79.8,8.7,,,,0.04,24.39
Chang'e 5,B012-092,,,487.7,50,,,,0.07,21.16
Chang'e 5,B012-094,,,319.4,66.8,,,,0,24.08
Chang'e 5,B012-105,,,285.8,317.9,,,,0.01,22.45
Chang'e 5,B012-106,,,30.6,21,,,,0.01,22.26
Chang'e 5,B012-111,,,103.7,15.6,,,,0.01,21.94
Chang'e 5,B012-116,,,41.6,4.8,,,,0.02,22.43
Chang'e 5,B012-118,,,103.5,7,,,,0.07,24.32
Chang'e 5,B012-129,,,69.3,6.7,,,,0.21,21
Chang'e 5,B012-144,,,368.5,22.6,,,,0.03,21.62
Chang'e 5,B012-148,,,71.2,7.8,,,,0.01,22.61
Chang'e 5,B012-161,,,1445.2,37.9,,,,0.01,18.91
Chang'e 5,B012-172,,,47.4,5.6,,,,0.02,22.18
Chang'e 5,B012-183,,,57.8,9.1,,,,0.014,20.567
Chang'e 5,B012-192,,,596.2,20.2,,,,0.016,20.041
Chang'e 5,B014-007,,,33.4,4,,,,0.02,23.76
Chang'e 5,B014-009,,,857.9,31.4,,,,0.05,24.2
Chang'e 5,B017-002,,,77.8,146.9,,,,0.015,18.671
Chang'e 5,B017-004,,,334,192.8,,,,0.012,22.393
Chang'e 5,B017-006,,,70.1,19.9,,,,0.053,24.546
Chang'e 5,B017-020,,,80.2,140.8,,,,0.012,21.317
