Location,Sample Name,40/39 Ratio,U-Th-Pb,Absolute Model Age,1 stdev,2 stdev,X (NBO),Size (micrometers),K2O,FeO
Apollo 11,10049,,,3578,,9,,,,
Apollo 11,10044,,,3688,,5,,,,
Apollo 11,10058,,,3697,,7,,,,
Apollo 11,10003,,,3854,,5,,,,
Apollo 11,10020,,,3752,,18,,,,
Apollo 11,10045,,,3747,,3,,,,
Apollo 12,12002,,,3167,,12,,,,
Apollo 12,12012,,,3151,,21,,,,
Apollo 12,12039,,,3129,,10,,,,
Apollo 12,12021,,,3176,,6,,,,
Apollo 12,12005,,,3182,,10,,,,
Apollo 12,12016,,,3188,,11,,,,
Apollo 12,12063,,,3193,,11,,,,
Apollo 12,12038,,,3242,,13,,,,
Apollo 14,14053,,,3955,,8,,,,
Apollo 14,14072,,,3904,,7,,,,
Apollo 15,15386,,,3884,,77,,,,
Apollo 15,15385,,,3262,,14,,,,
Apollo 15,15016,,,3289,,9,,,,
Apollo 15,15555,,,3265,,16,,,,
Apollo 15,15557,,,3290,,12,,,,
Apollo 15,15065,,,3366,,44,,,,
Apollo 15,15058,,,3358,,9,,,,
Apollo 15,15085,,,3353,,6,,,,
Apollo 17,75035,,,3753,,9,,,,
Apollo 17,75055,,,3752,,9,,,,
Apollo 17,70017,,,3768,,12,,,,
Apollo 17,75075,,,3766,,13,,,,
Apollo 17,74275,,,3753,,5,,,,
